forecast_ts,horizon,yhat,method,valid_from,valid_to,description
2025-12-15T17:15:24.684212Z,1,40.80532712665814,naive_slope_step,2025-12-15T17:15:24.684212Z,2025-12-15T17:30:24.684212Z,"Forecast generated at 2025-12-15 17:15:24 UTC predicts 40.81 for horizon t+1 (valid from 17:15:24 to 17:30:24 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:24.807506Z,1,41.18030240615849,naive_slope_step,2025-12-15T17:15:24.807506Z,2025-12-15T17:30:24.807506Z,"Forecast generated at 2025-12-15 17:15:24 UTC predicts 41.18 for horizon t+1 (valid from 17:15:24 to 17:30:24 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:24.935613Z,1,41.51546678329822,naive_slope_step,2025-12-15T17:15:24.935613Z,2025-12-15T17:30:24.935613Z,"Forecast generated at 2025-12-15 17:15:24 UTC predicts 41.52 for horizon t+1 (valid from 17:15:24 to 17:30:24 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.061430Z,1,41.80117288863321,naive_slope_step,2025-12-15T17:15:25.061430Z,2025-12-15T17:30:25.061430Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 41.80 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.181848Z,1,42.03084842851295,naive_slope_step,2025-12-15T17:15:25.181848Z,2025-12-15T17:30:25.181848Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.03 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.310761Z,1,42.201404818467275,naive_slope_step,2025-12-15T17:15:25.310761Z,2025-12-15T17:30:25.310761Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.20 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.436449Z,1,42.31342921642943,naive_slope_step,2025-12-15T17:15:25.436449Z,2025-12-15T17:30:25.436449Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.31 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.558320Z,1,42.37114801609968,naive_slope_step,2025-12-15T17:15:25.558320Z,2025-12-15T17:30:25.558320Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.37 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.694100Z,1,42.38216407025514,naive_slope_step,2025-12-15T17:15:25.694100Z,2025-12-15T17:30:25.694100Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.38 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.820660Z,1,42.35698398218799,naive_slope_step,2025-12-15T17:15:25.820660Z,2025-12-15T17:30:25.820660Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.36 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:25.953380Z,1,42.30836485600063,naive_slope_step,2025-12-15T17:15:25.953380Z,2025-12-15T17:30:25.953380Z,"Forecast generated at 2025-12-15 17:15:25 UTC predicts 42.31 for horizon t+1 (valid from 17:15:25 to 17:30:25 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:26.080909Z,1,42.250521121660654,naive_slope_step,2025-12-15T17:15:26.080909Z,2025-12-15T17:30:26.080909Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.25 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:26.201138Z,1,42.198240750591935,naive_slope_step,2025-12-15T17:15:26.201138Z,2025-12-15T17:30:26.201138Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.20 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:26.331748Z,1,42.165965811235786,naive_slope_step,2025-12-15T17:15:26.331748Z,2025-12-15T17:30:26.331748Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.17 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:26.456325Z,1,42.16689453118444,naive_slope_step,2025-12-15T17:15:26.456325Z,2025-12-15T17:30:26.456325Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.17 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:26.576515Z,1,42.21216069531385,naive_slope_step,2025-12-15T17:15:26.576515Z,2025-12-15T17:30:26.576515Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.21 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:26.696799Z,1,42.31014140096568,naive_slope_step,2025-12-15T17:15:26.696799Z,2025-12-15T17:30:26.696799Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.31 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:26.817940Z,1,42.46593621060855,naive_slope_step,2025-12-15T17:15:26.817940Z,2025-12-15T17:30:26.817940Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.47 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:26.943563Z,1,42.68105008574291,naive_slope_step,2025-12-15T17:15:26.943563Z,2025-12-15T17:30:26.943563Z,"Forecast generated at 2025-12-15 17:15:26 UTC predicts 42.68 for horizon t+1 (valid from 17:15:26 to 17:30:26 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.064552Z,1,42.9532998156842,naive_slope_step,2025-12-15T17:15:27.064552Z,2025-12-15T17:30:27.064552Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 42.95 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.192148Z,1,43.27694975902896,naive_slope_step,2025-12-15T17:15:27.192148Z,2025-12-15T17:30:27.192148Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 43.28 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.318716Z,1,43.64306845805722,naive_slope_step,2025-12-15T17:15:27.318716Z,2025-12-15T17:30:27.318716Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 43.64 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.450592Z,1,44.04008395351469,naive_slope_step,2025-12-15T17:15:27.450592Z,2025-12-15T17:30:27.450592Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 44.04 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.571010Z,1,44.45450327299126,naive_slope_step,2025-12-15T17:15:27.571010Z,2025-12-15T17:30:27.571010Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 44.45 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.700484Z,1,44.87175135859343,naive_slope_step,2025-12-15T17:15:27.700484Z,2025-12-15T17:30:27.700484Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 44.87 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.830969Z,1,45.27707727345088,naive_slope_step,2025-12-15T17:15:27.830969Z,2025-12-15T17:30:27.830969Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 45.28 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:27.955369Z,1,45.65647134352608,naive_slope_step,2025-12-15T17:15:27.955369Z,2025-12-15T17:30:27.955369Z,"Forecast generated at 2025-12-15 17:15:27 UTC predicts 45.66 for horizon t+1 (valid from 17:15:27 to 17:30:27 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.085607Z,1,45.99753621129126,naive_slope_step,2025-12-15T17:15:28.085607Z,2025-12-15T17:30:28.085607Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.00 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.208449Z,1,46.29025764337379,naive_slope_step,2025-12-15T17:15:28.208449Z,2025-12-15T17:30:28.208449Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.29 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.338354Z,1,46.52762716708417,naive_slope_step,2025-12-15T17:15:28.338354Z,2025-12-15T17:30:28.338354Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.53 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.458772Z,1,46.70607782330285,naive_slope_step,2025-12-15T17:15:28.458772Z,2025-12-15T17:30:28.458772Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.71 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.587609Z,1,46.825705942722024,naive_slope_step,2025-12-15T17:15:28.587609Z,2025-12-15T17:30:28.587609Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.83 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.713563Z,1,46.890265156469766,naive_slope_step,2025-12-15T17:15:28.713563Z,2025-12-15T17:30:28.713563Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.89 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.839571Z,1,46.90693301350687,naive_slope_step,2025-12-15T17:15:28.839571Z,2025-12-15T17:30:28.839571Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.91 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:28.964774Z,1,46.88586471539641,naive_slope_step,2025-12-15T17:15:28.964774Z,2025-12-15T17:30:28.964774Z,"Forecast generated at 2025-12-15 17:15:28 UTC predicts 46.89 for horizon t+1 (valid from 17:15:28 to 17:30:28 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:29.086469Z,1,46.83956171505638,naive_slope_step,2025-12-15T17:15:29.086469Z,2025-12-15T17:30:29.086469Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.84 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:29.207994Z,1,46.78209443696719,naive_slope_step,2025-12-15T17:15:29.207994Z,2025-12-15T17:30:29.207994Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.78 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:29.328215Z,1,46.72822744632637,naive_slope_step,2025-12-15T17:15:29.328215Z,2025-12-15T17:30:29.328215Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.73 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:29.451117Z,1,46.69250145989552,naive_slope_step,2025-12-15T17:15:29.451117Z,2025-12-15T17:30:29.451117Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.69 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:29.577846Z,1,46.68832927465919,naive_slope_step,2025-12-15T17:15:29.577846Z,2025-12-15T17:30:29.577846Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.69 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected decrease relative to the most recent observed state."
2025-12-15T17:15:29.700881Z,1,46.72716182507181,naive_slope_step,2025-12-15T17:15:29.700881Z,2025-12-15T17:30:29.700881Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.73 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:29.825588Z,1,46.81777621941531,naive_slope_step,2025-12-15T17:15:29.825588Z,2025-12-15T17:30:29.825588Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.82 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:29.952023Z,1,46.96573002171728,naive_slope_step,2025-12-15T17:15:29.952023Z,2025-12-15T17:30:29.952023Z,"Forecast generated at 2025-12-15 17:15:29 UTC predicts 46.97 for horizon t+1 (valid from 17:15:29 to 17:30:29 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.075997Z,1,47.173015709337356,naive_slope_step,2025-12-15T17:15:30.075997Z,2025-12-15T17:30:30.075997Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 47.17 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.196459Z,1,47.43793679037536,naive_slope_step,2025-12-15T17:15:30.196459Z,2025-12-15T17:30:30.196459Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 47.44 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.330509Z,1,47.75521328332097,naive_slope_step,2025-12-15T17:15:30.330509Z,2025-12-15T17:30:30.330509Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 47.76 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.450511Z,1,48.11631000073067,naive_slope_step,2025-12-15T17:15:30.450511Z,2025-12-15T17:30:30.450511Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 48.12 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.571592Z,1,48.50996722584367,naive_slope_step,2025-12-15T17:15:30.571592Z,2025-12-15T17:30:30.571592Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 48.51 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.696630Z,1,48.92290078723437,naive_slope_step,2025-12-15T17:15:30.696630Z,2025-12-15T17:30:30.696630Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 48.92 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.822454Z,1,49.34062800425085,naive_slope_step,2025-12-15T17:15:30.822454Z,2025-12-15T17:30:30.822454Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 49.34 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.944098Z,1,49.74836814995212,naive_slope_step,2025-12-15T17:15:30.944098Z,2025-12-15T17:30:30.944098Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 49.75 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.066578Z,1,50.131961445119934,naive_slope_step,2025-12-15T17:15:31.066578Z,2025-12-15T17:30:31.066578Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 50.13 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.187002Z,1,50.47874944474886,naive_slope_step,2025-12-15T17:15:31.187002Z,2025-12-15T17:30:31.187002Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 50.48 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.316381Z,1,50.77836207884649,naive_slope_step,2025-12-15T17:15:31.316381Z,2025-12-15T17:30:31.316381Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 50.78 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.443067Z,1,51.02336241315908,naive_slope_step,2025-12-15T17:15:31.443067Z,2025-12-15T17:30:31.443067Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.02 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.567676Z,1,51.209709041722995,naive_slope_step,2025-12-15T17:15:31.567676Z,2025-12-15T17:30:31.567676Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.21 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.697152Z,1,51.33700736191359,naive_slope_step,2025-12-15T17:15:31.697152Z,2025-12-15T17:30:31.697152Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.34 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.824295Z,1,51.40853410892494,naive_slope_step,2025-12-15T17:15:31.824295Z,2025-12-15T17:30:31.824295Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.41 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.944801Z,1,51.43103362424623,naive_slope_step,2025-12-15T17:15:31.944801Z,2025-12-15T17:30:31.944801Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.43 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
